coin_parse,coin_time,coin_value,update_time
BNB,2019-01-16,6.1860141387,2022-03-26
BNB,2019-01-17,6.4178323117,2022-03-26
BNB,2019-01-18,6.5630397767,2022-03-26
BNB,2019-01-19,6.6354494971,2022-03-26
BNB,2019-01-20,6.4938693065,2022-03-26
BNB,2019-01-21,6.5530249408,2022-03-26
BNB,2019-01-22,6.5231990294,2022-03-26
BNB,2019-01-23,6.5414018792,2022-03-26
BNB,2019-01-24,6.5057915711,2022-03-26
BNB,2019-01-25,6.7373250627,2022-03-26
BNB,2019-01-26,7.0065649989,2022-03-26
BNB,2019-01-27,7.0881989057,2022-03-26
BNB,2019-01-28,6.2061822834,2022-03-26
BNB,2019-01-29,6.1816701019,2022-03-26
BNB,2019-01-30,6.1745286946,2022-03-26
BNB,2019-01-31,6.2684357748,2022-03-26
BNB,2019-02-01,6.5626173962,2022-03-26
BNB,2019-02-02,6.8916947479,2022-03-26
BNB,2019-02-03,6.7381646595,2022-03-26
BNB,2019-02-04,7.1005002043,2022-03-26
BNB,2019-02-05,7.8198101389,2022-03-26
BNB,2019-02-06,8.0861743091,2022-03-26
BNB,2019-02-07,7.7303251543,2022-03-26
BNB,2019-02-08,8.5755666602,2022-03-26
BNB,2019-02-09,8.8713571592,2022-03-26
BNB,2019-02-10,9.2115397998,2022-03-26
BNB,2019-02-11,9.5518094869,2022-03-26
